FPA_time,MAV_time,Check,FPA_total_points,MAV_total_points,FPA_total_nodes,MAV_total_nodes
970,1127,1,4,4,8,420
361,921,1,4,4,8,410
98,522,1,2,2,4,226
491,1022,1,6,6,12,522
465,887,1,5,5,10,414
333,1100,1,3,3,6,538
74,920,1,2,2,4,442
389,730,1,6,6,12,354
79,776,1,2,2,4,364
172,777,1,4,4,8,386
316,1040,1,5,5,10,510
180,819,1,3,3,6,392
60,477,1,2,2,4,230
336,857,1,5,5,10,416
212,742,1,4,4,8,362
230,731,1,3,3,6,364
60,687,1,2,2,4,328
156,884,1,4,4,8,424
439,971,1,7,7,14,446
274,543,1,3,3,6,268
47,1280,1,3,3,6,616
213,818,1,5,5,10,392
207,1108,1,2,2,4,526
57,876,1,2,2,4,420
121,937,1,2,2,4,470
256,977,1,5,5,10,496
179,618,1,3,3,6,294
143,661,1,2,2,4,314
344,590,1,5,5,10,304
146,624,1,3,3,6,288
474,1016,1,5,5,10,508
226,894,1,3,3,6,452
530,680,1,6,6,12,338
393,873,1,7,7,14,432
385,899,1,5,5,10,442
985,1093,1,9,9,18,518
484,895,1,6,6,12,456
642,1173,1,7,7,14,540
341,786,1,6,6,12,406
408,1005,1,5,5,10,510
284,793,1,5,5,10,392
233,796,1,4,4,8,374
159,799,1,4,4,8,386
83,665,1,3,3,6,344
446,951,1,5,5,10,466
389,1557,1,7,7,14,740
538,1078,1,8,8,16,522
325,809,1,5,5,10,404
124,532,1,3,3,6,256
971,821,1,9,9,18,406
845,787,1,8,8,16,380
194,1113,1,4,4,8,542
286,953,1,5,5,10,478
601,747,1,6,6,12,364
268,949,1,3,3,6,456
64,752,1,3,3,6,362
591,799,1,7,7,14,380
48,608,1,2,2,4,292
288,1266,1,5,5,10,606
94,438,1,2,2,4,198
462,1611,1,6,6,12,794
1209,1129,1,12,12,24,544
386,706,1,4,4,8,318
400,713,1,5,5,10,356
318,574,1,5,5,10,270
658,1122,1,7,7,14,546
753,949,1,6,6,12,476
507,851,1,5,5,10,418
292,1019,1,4,4,8,486
305,838,1,6,6,12,404
234,938,1,5,5,10,460
136,712,1,3,3,6,318
176,995,1,4,4,8,498
103,814,1,3,3,6,380
52,972,1,2,2,4,424
129,1005,1,4,4,8,466
107,779,1,4,4,8,386
51,791,1,2,2,4,354
376,788,1,5,5,10,372
76,863,1,2,2,4,382
170,765,1,3,3,6,332
199,1055,1,2,2,4,496
699,1310,1,7,7,14,626
558,724,1,5,5,10,356
225,1166,1,3,3,6,508
488,962,1,5,5,10,444
758,1199,1,7,7,14,598
875,618,1,7,7,14,306
195,944,1,3,3,6,396
475,812,1,4,4,8,394
100,915,1,3,3,6,420
655,1020,1,8,8,16,500
723,845,1,6,6,12,394
119,987,1,4,4,8,376
139,890,1,5,5,10,408
250,1098,1,3,3,6,512
189,719,1,4,4,8,352
271,648,1,5,5,10,300
24,742,1,1,1,2,352
251,797,1,4,4,8,396



